MIN_HOLD_DAYS,SCORE_HOLD_ZONE,BULL_SELL_DIV,BULL_BUY_MULT,TRADE_TARGET_DELTA,MAX_POSITION,CONFIRMATION_THRESHOLD,strategy_return,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,total_trades,avg_hold_days,excess_return,profit_factor,expectancy
10,15,0.12,1.3,0.02,0.85,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.12,1.3,0.02,0.95,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.12,1.5,0.02,0.85,65,0.182724,0.853289,-0.137835,0.744353,0.681818,22,17.409091,-0.134768,2.190279,0.912727
10,15,0.12,1.3,0.05,0.85,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.12,1.3,0.05,0.95,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.12,1.3,0.02,0.95,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.12,1.3,0.05,0.85,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.12,1.5,0.02,0.95,65,0.182724,0.853289,-0.137835,0.744353,0.681818,22,17.409091,-0.134768,2.190279,0.912727
10,15,0.12,1.3,0.05,0.95,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.12,1.3,0.02,0.85,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.12,1.5,0.02,0.85,75,0.146425,0.707385,-0.135693,0.610019,0.545455,22,17.090909,-0.171068,1.18794,0.218182
10,15,0.12,1.5,0.05,0.85,65,0.183348,0.855563,-0.137835,0.746808,0.681818,22,17.409091,-0.134145,2.190279,0.912727
10,15,0.12,1.8,0.02,0.95,75,0.187358,0.814907,-0.130683,0.804311,0.545455,22,17.909091,-0.130134,1.67404,0.734091
10,15,0.12,1.5,0.02,0.95,75,0.146425,0.707385,-0.135693,0.610019,0.545455,22,17.090909,-0.171068,1.18794,0.218182
10,15,0.12,1.5,0.05,0.95,75,0.147031,0.709708,-0.135693,0.612472,0.545455,22,17.090909,-0.170462,1.18794,0.218182
10,15,0.12,1.5,0.05,0.95,65,0.183348,0.855563,-0.137835,0.746808,0.681818,22,17.409091,-0.134145,2.190279,0.912727
10,15,0.12,1.8,0.02,0.85,75,0.187358,0.814907,-0.130683,0.804311,0.545455,22,17.909091,-0.130134,1.67404,0.734091
10,15,0.12,1.8,0.05,0.85,75,0.187358,0.814907,-0.130683,0.804311,0.545455,22,17.909091,-0.130134,1.67404,0.734091
10,15,0.12,1.8,0.02,0.85,65,0.21258,0.906974,-0.130786,0.907681,0.545455,22,18.545455,-0.104913,1.824176,0.715909
10,15,0.12,1.5,0.05,0.85,75,0.147031,0.709708,-0.135693,0.612472,0.545455,22,17.090909,-0.170462,1.18794,0.218182
10,15,0.12,1.8,0.02,0.95,65,0.21258,0.906974,-0.130786,0.907681,0.545455,22,18.545455,-0.104913,1.824176,0.715909
10,15,0.12,1.8,0.05,0.85,65,0.21258,0.906974,-0.130786,0.907681,0.545455,22,18.545455,-0.104913,1.824176,0.715909
10,15,0.12,1.8,0.05,0.95,65,0.21258,0.906974,-0.130786,0.907681,0.545455,22,18.545455,-0.104913,1.824176,0.715909
10,15,0.12,1.8,0.05,0.95,75,0.187358,0.814907,-0.130683,0.804311,0.545455,22,17.909091,-0.130134,1.67404,0.734091
10,15,0.2,1.3,0.02,0.95,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.2,1.3,0.02,0.85,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.2,1.3,0.02,0.85,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.2,1.3,0.05,0.95,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.2,1.3,0.02,0.95,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.2,1.3,0.05,0.85,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.2,1.3,0.05,0.85,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.2,1.3,0.05,0.95,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.2,1.5,0.02,0.85,65,0.182724,0.853289,-0.137835,0.744353,0.681818,22,17.409091,-0.134768,2.190279,0.912727
10,15,0.2,1.8,0.05,0.85,65,0.21258,0.906974,-0.130786,0.907681,0.545455,22,18.545455,-0.104913,1.824176,0.715909
10,15,0.2,1.8,0.05,0.85,75,0.187358,0.814907,-0.130683,0.804311,0.545455,22,17.909091,-0.130134,1.67404,0.734091
10,15,0.3,1.3,0.02,0.85,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.2,1.8,0.05,0.95,75,0.187358,0.814907,-0.130683,0.804311,0.545455,22,17.909091,-0.130134,1.67404,0.734091
10,15,0.3,1.3,0.02,0.85,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.3,1.3,0.02,0.95,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.3,1.3,0.05,0.85,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.2,1.8,0.05,0.95,65,0.21258,0.906974,-0.130786,0.907681,0.545455,22,18.545455,-0.104913,1.824176,0.715909
10,15,0.3,1.3,0.05,0.95,65,0.171601,0.884503,-0.139867,0.690305,0.722222,18,15.055556,-0.145891,3.213075,1.015556
10,15,0.3,1.3,0.05,0.85,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.3,1.3,0.02,0.95,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.3,1.3,0.05,0.95,75,0.143535,0.752769,-0.13978,0.58081,0.611111,18,14.444444,-0.173958,1.699029,0.56
10,15,0.3,1.5,0.02,0.85,75,0.146425,0.707385,-0.135693,0.610019,0.545455,22,17.090909,-0.171068,1.18794,0.218182
10,15,0.3,1.5,0.02,0.85,65,0.182724,0.853289,-0.137835,0.744353,0.681818,22,17.409091,-0.134768,2.190279,0.912727
10,15,0.3,1.5,0.02,0.95,75,0.146425,0.707385,-0.135693,0.610019,0.545455,22,17.090909,-0.171068,1.18794,0.218182
10,15,0.3,1.5,0.02,0.95,65,0.182724,0.853289,-0.137835,0.744353,0.681818,22,17.409091,-0.134768,2.190279,0.912727
